trackname,album_title,artist,total_purchases,total_cost
Wanted Dread And Alive,Greatest Hits,Lenny Kravitz,1,0.99
Wall Of Denial,In Step,Stevie Ray Vaughan & Double Trouble,1,0.99
Walking Wounded,Tangents,The Tea Party,1,0.99
Walking On The Water,"Chronicle, Vol. 2",Creedence Clearwater Revival,1,0.99
Walking Contradiction,International Superhits,Green Day,1,0.99
Walking After You,The Colour And The Shape,Foo Fighters,1,0.99
Walkin' Blues,Unplugged,Eric Clapton,1,0.99
Walk To The Water,B-Sides 1980-1990,U2,1,0.99
Walk On,All That You Can't Leave Behind,U2,1,0.99
Wake Up Dead Man,Pop,U2,1,0.99
Wake Up Alone,Back to Black,Amy Winehouse,1,0.99
Wake Up,Jagged Little Pill,Alanis Morissette,1,0.99
Wake Me Up When September Ends,American Idiot,Green Day,1,0.99
Waiting On A Sign,Tangents,The Tea Party,1,0.99
W.M.A.,Vs.,Pearl Jam,1,0.99
Vôo Sobre o Horizonte,Chill: Brazil (Disc 1),Marcos Valle,1,0.99
Vulcão Dub - Fui Eu,Acústico MTV,Os Paralamas Do Sucesso,1,0.99
Vou Pra Ai,Jota Quest-1995,Jota Quest,1,0.99
"Você Passa, Eu Acho Graça (Ao Vivo)",Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,1,0.99
Você Fugiu,Serie Sem Limite (Disc 1),Tim Maia,1,0.99
Você,Serie Sem Limite (Disc 2),Tim Maia,1,0.99
Voce Nao Entende Nada - Cotidiano,Minha Historia,Chico Buarque,1,0.99
Voce Inteira,Cafezinho,João Suplicy,1,0.99
Virginia Moon,In Your Honor [Disc 2],Foo Fighters,1,0.99
Viradouro,Sambas De Enredo 2001,Various Artists,1,0.99
Vida De Cachorro,Minha História,Os Mutantes,1,0.99
Vida Boa,Prenda Minha,Caetano Veloso,1,0.99
Vertigo,How To Dismantle An Atomic Bomb,U2,1,0.99
Verdade,Ao Vivo [IMPORT],Zeca Pagodinho,1,0.99
Vavoom : Ted The Mechanic,Purpendicular,Deep Purple,1,0.99
Vamo Batê Lata,Acústico MTV,Os Paralamas Do Sucesso,1,0.99
Valentino's,Heart of the Night,Spyro Gyra,1,0.99
Vai Valer,Acústico MTV,Os Paralamas Do Sucesso,1,0.99
Vai Passar,Minha Historia,Chico Buarque,1,0.99
Up Around The Bend,"Chronicle, Vol. 1",Creedence Clearwater Revival,1,0.99
Up An' Atom,Up An' Atom,Gene Krupa,1,0.99
Until We Fall,Revelations,Audioslave,1,0.99
Until It Sleeps,Load,Metallica,1,0.99
Uns Dias,Acústico MTV,Os Paralamas Do Sucesso,1,0.99
União Da Ilha,Sambas De Enredo 2001,Various Artists,1,0.99
United Colours,Original Soundtracks 1,Passengers,1,0.99
Unfinished Business,"Battlestar Galactica, Season 3",Battlestar Galactica,1,1.99
Underwater Love,The Real Thing,Faith No More,1,0.99
Under The Sun/Every Day Comes and Goes,Black Sabbath Vol. 4 (Remaster),Black Sabbath,1,0.99
Under Pressure,Greatest Hits II,Queen,1,0.99
Under My Thumb,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,1,0.99
Unchained,"The Best Of Van Halen, Vol. I",Van Halen,1,0.99
Uma Brasileira,Arquivo II,Os Paralamas Do Sucesso,1,0.99
Um Satélite Na Cabeça,Afrociberdelia,Chico Science & Nação Zumbi,1,0.99
Um Passeio No Mundo Livre,Afrociberdelia,Chico Science & Nação Zumbi,1,0.99
Um Lugar ao Sol,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,1,0.99
Um Love,The Best of Ed Motta,Ed Motta,1,0.99
Um Jantar Pra Dois,Chill: Brazil (Disc 2),Antônio Carlos Jobim,1,0.99
Um Indio,Minha Historia,Chico Buarque,1,0.99
Um Homem Chamado Alfredo,Vinicius De Moraes,Vinícius De Moraes,1,0.99
Um Dia Qualquer,O Samba Poconé,Skank,1,0.99
"Um Amor, Um Lugar",Acústico MTV,Os Paralamas Do Sucesso,1,0.99
Ugly In The Morning,King For A Day Fool For A Lifetime,Faith No More,1,0.99
Tyrant (Live),Living After Midnight,Judas Priest,1,0.99
Two Steps Behind [Acoustic Version],Vault: Def Leppard's Greatest Hits,Def Leppard,1,0.99
Two Fanfares for Orchestra: II. Short Ride in a Fast Machine,"Adams, John: The Chairman Dances",Edo de Waart & San Francisco Symphony,1,0.99
Twentienth Century Fox,The Doors,The Doors,1,0.99
Turn The Page,Garage Inc. (Disc 1),Metallica,1,0.99
Tuesday's Gone,Garage Inc. (Disc 1),Metallica,1,0.99
Tudo Na Mais Santa Paz,Vinicius De Moraes,Vinícius De Moraes,1,0.99
Tudo Bem,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos,1,0.99
Três Lados,Maquinarama,Skank,1,0.99
Trupets Of Jericho,Chemical Wedding,Bruce Dickinson,1,0.99
True Believers,Beyond Good And Evil,The Cult,1,0.99
Trocando Em Miúdos,Minha Historia,Chico Buarque,1,0.99
TriboTchan,Axé Bahia 2001,Various Artists,1,0.99
Travelling Riverside Blues,BBC Sessions [Disc 1] [Live],Led Zeppelin,1,0.99
"Trash, Trampoline And The Party Girl",B-Sides 1980-1990,U2,1,0.99
Transylvania,A Real Dead One,Iron Maiden,1,0.99
Trampled Under Foot,Physical Graffiti [Disc 1],Led Zeppelin,1,0.99
Tradição,Sambas De Enredo 2001,Various Artists,1,0.99
Trac Trac,Arquivo II,Os Paralamas Do Sucesso,1,0.99
Top Top,Minha História,Os Mutantes,1,0.99
Top O' The Morning To Ya,House of Pain,House Of Pain,1,0.99
Too Young To Die,Emergency On Planet Earth,Jamiroquai,1,0.99
Tomorrow's Dream,Black Sabbath Vol. 4 (Remaster),Black Sabbath,1,0.99
Tommy Gun,The Singles,The Clash,1,0.99
Tombstone Shadow,"Chronicle, Vol. 2",Creedence Clearwater Revival,1,0.99
Todo o Carnaval tem seu Fim,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,1,0.99
Todo Mundo Explica,Raul Seixas,Raul Seixas,1,0.99
Todo Amor Que Houver Nesta Vida,Cássia Eller - Sem Limite [Disc 1],Cássia Eller,1,0.99
Todo Amor (Asas Da Liberdade),Olodum,Olodum,1,0.99
Toda Menina Baiana,Unplugged,Eric Clapton,1,0.99
To Tame A Land,Piece Of Mind,Iron Maiden,1,0.99
To Live Is To Die,...And Justice For All,Metallica,1,0.99
Time Is On My Side,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,1,0.99
Time,Dark Side Of The Moon,Pink Floyd,1,0.99
Tightrope,In Step,Stevie Ray Vaughan & Double Trouble,1,0.99
"Through the Looking Glass, Pt. 1","Lost, Season 3",Lost,1,1.99
Through a Looking Glass,"Lost, Season 3",Lost,1,1.99
Through The Never,Black Album,Metallica,1,0.99
This Is The Place,By The Way,Red Hot Chili Peppers,1,0.99
This Is Radio Clash,The Singles,The Clash,1,0.99
Thinking 'Bout Tomorrow,Blue Moods,Incognito,1,0.99
Think About You,Appetite for Destruction,Guns N' Roses,1,0.99
Thief In The Night,No Security,The Rolling Stones,1,0.99
They're Red Hot,Blood Sugar Sex Magik,Red Hot Chili Peppers,1,0.99
These Colours Don't Run,A Matter of Life and Death,Iron Maiden,1,0.99
"There's No Place Like Home, Pt. 3","LOST, Season 4",Lost,1,1.99
Theme From The Swan,Original Soundtracks 1,Passengers,1,0.99
The Zoo,20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,1,0.99
The Zephyr Song,By The Way,Red Hot Chili Peppers,1,0.99
The Wrong Child,Green,R.E.M.,1,0.99
The Wind Cries Mary,Are You Experienced?,Jimi Hendrix,1,0.99
The Whole Truth,"Lost, Season 2",Lost,1,1.99
The Wanderer,Zooropa,U2,1,0.99
The Wake-Up Bomb,New Adventures In Hi-Fi,R.E.M.,1,0.99
The Wait,Garage Inc. (Disc 2),Metallica,1,0.99
The Unwritten Law,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple,1,0.99
The Unforgettable Fire,The Best Of 1980-1990,U2,1,0.99
The Unbeliever,The X Factor,Iron Maiden,1,0.99
The Tower,Chemical Wedding,Bruce Dickinson,1,0.99
The Three Sunrises,B-Sides 1980-1990,U2,1,0.99
The Thing That Should Not Be,Master Of Puppets,Metallica,1,0.99
The Sun Road,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens",1,0.99
The Struggle Within,Black Album,Metallica,1,0.99
The Small Hours,Garage Inc. (Disc 2),Metallica,1,0.99
The Show Must Go On,Greatest Hits II,Queen,1,0.99
The Seeker,My Generation - The Very Best Of The Who,The Who,1,0.99
The River (Remix),Tangents,The Tea Party,1,0.99
The Right Thing,Greatest Hits,Lenny Kravitz,1,0.99
The Prophecy,Seventh Son of a Seventh Son,Iron Maiden,1,0.99
The Power Of Equality,Blood Sugar Sex Magik,Red Hot Chili Peppers,1,0.99
The Playboy Mansion,Pop,U2,1,0.99
The Pilgrim,A Matter of Life and Death,Iron Maiden,1,0.99
The Passage,"Battlestar Galactica, Season 3",Battlestar Galactica,1,1.99
The Pan Piper,The Essential Miles Davis [Disc 1],Miles Davis,1,0.99
The Outlaw Torn,Load,Metallica,1,0.99
The Other 48 Days,"Lost, Season 2",Lost,1,1.99
The Ocean,Houses Of The Holy,Led Zeppelin,1,0.99
The Moth,"Lost, Season 1",Lost,1,1.99
The Morning After,The Real Thing,Faith No More,1,0.99
The More I See,Garage Inc. (Disc 1),Metallica,1,0.99
"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",Handel: The Messiah (Highlights),Scholars Baroque Ensemble,1,0.99
The Memory Remains,ReLoad,Metallica,1,0.99
The Meaning Of The Blues,Miles Ahead,Miles Davis,1,0.99
The Man Behind the Curtain,"Lost, Season 3",Lost,1,1.99
The Magnificent Warriors,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
The Lost Warrior,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
The Long Patrol,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
The Long Con,"Lost, Season 2",Lost,1,1.99
"The Living Legend, Pt. 2","Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
"The Living Legend, Pt. 1","Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
The Lemon Song,Led Zeppelin II,Led Zeppelin,1,0.99
The Last Remaining Light,Audioslave,Audioslave,1,0.99
The Job,"The Office, Season 3",The Office,1,1.99
The Invisible Man,Greatest Hits II,Queen,1,0.99
The Initiation,"The Office, Season 3",The Office,1,1.99
The Ides Of March,Killers,Iron Maiden,1,0.99
The Hard Part,"Heroes, Season 1",Heroes,1,1.99
The Hand of God,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
"The Gun On Ice Planet Zero, Pt. 2","Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
"The Gun On Ice Planet Zero, Pt. 1","Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
The Great Gig In The Sky,Dark Side Of The Moon,Pink Floyd,1,0.99
The God That Failed,Black Album,Metallica,1,0.99
The Glass Ballerina,"Lost, Season 3",Lost,1,1.99
The Gentle Art Of Making Enemies,King For A Day Fool For A Lifetime,Faith No More,1,0.99
The Fugitive,Fear Of The Dark,Iron Maiden,1,0.99
The Frayed Ends Of Sanity,...And Justice For All,Metallica,1,0.99
The Four Horsemen,Kill 'Em All,Metallica,1,0.99
The Fly,Achtung Baby,U2,1,0.99
The First Time,Zooropa,U2,1,0.99
The Finest Worksong,The Best Of R.E.M.: The IRS Years,R.E.M.,1,0.99
The Educated Fool,Virtual XI,Iron Maiden,1,0.99
The Economist,"LOST, Season 4",Lost,1,1.99
The Dundies,"The Office, Season 2",The Office,1,1.99
The Deeper The Love,Greatest Hits,Lenny Kravitz,1,0.99
The Day I Tried To Live,A-Sides,Soundgarden,1,0.99
The Cut Runs Deep,Slaves And Masters,Deep Purple,1,0.99
The Crystal Ship,The Doors,The Doors,1,0.99
The Crunge,Houses Of The Holy,Led Zeppelin,1,0.99
The Coup,"The Office, Season 3",The Office,1,1.99
The Convict,"The Office, Season 3",The Office,1,1.99
The Convention,"The Office, Season 3",The Office,1,1.99
The Carpet,"The Office, Season 2",The Office,1,1.99
The Call Of Ktulu,Ride The Lightning,Metallica,1,0.99
The Beginning...At Last,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society,1,0.99
The Beginning of the End,"LOST, Season 4",Lost,1,1.99
The Begining... At Last,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,1,0.99
The Battle Rages On,The Battle Rages On,Deep Purple,1,0.99
The Assassin,No Prayer For The Dying,Iron Maiden,1,0.99
The Angel And The Gambler,Virtual XI,Iron Maiden,1,0.99
The Alchemist,Chemical Wedding,Bruce Dickinson,1,0.99
The 23rd Psalm,"Lost, Season 2",Lost,1,1.99
"Texto ""Verdade Tropical""",Prenda Minha,Caetano Veloso,1,0.99
Texarkana,Out Of Time,R.E.M. Feat. Kate Pearson,1,0.99
Territorial Pissings,Nevermind,Nirvana,1,0.99
Terra,Prenda Minha,Caetano Veloso,1,0.99
Tendo A Lua,Arquivo II,Os Paralamas Do Sucesso,1,0.99
Ten Years Gone,Physical Graffiti [Disc 2],Led Zeppelin,1,0.99
Tempos Modernos,Barulhinho Bom,Marisa Monte,1,0.99
Tempo Rei,Unplugged,Eric Clapton,1,0.99
Tease Me Please Me,20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,1,0.99
Tears In Heaven,Unplugged,Eric Clapton,1,0.99
Tears Dry On Their Own,Back to Black,Amy Winehouse,1,0.99
Tea For One,Presence,Led Zeppelin,1,0.99
Tatuagem,Minha Historia,Chico Buarque,1,0.99
"Tapa Aqui, Descobre Ali",Axé Bahia 2001,Various Artists,1,0.99
Talk About The Passion,The Best Of R.E.M.: The IRS Years,R.E.M.,1,0.99
Take the Celestra,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),1,1.99
Take the Box,Frank,Amy Winehouse,1,0.99
Take This Bottle,King For A Day Fool For A Lifetime,Faith No More,1,0.99
Take The Power,Beyond Good And Evil,The Cult,1,0.99
Tailgunner,No Prayer For The Dying,Iron Maiden,1,0.99
Sítio Do Pica-Pau Amarelo,Unplugged,Eric Clapton,1,0.99
Século XXI,Raul Seixas,Raul Seixas,1,0.99
Sábado A Noite,Cidade Negra - Hits,Cidade Negra,1,0.99
Sympton of the Universe,Speak of the Devil,Ozzy Osbourne,1,0.99
"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",Mozart: Symphonies Nos. 40 & 41,Berliner Philharmoniker & Herbert Von Karajan,1,0.99
"Symphony No. 3 Op. 36 for Orchestra and Soprano ""Symfonia Piesni Zalosnych"" \ Lento E Largo - Tranquillissimo",Górecki: Symphony No. 3,Adrian Leaper & Doreen de Feis,1,0.99
Symphony No. 2: III. Allegro vivace,Weill: The Seven Deadly Sins,Kent Nagano and Orchestre de l'Opéra de Lyon,1,0.99
"Symphony No. 2, Op. 16 -  ""The Four Temperaments"": II. Allegro Comodo e Flemmatico",Nielsen: The Six Symphonies,Göteborgs Symfoniker & Neeme Järvi,1,0.99
"Symphony No. 104 in D Major ""London"": IV. Finale: Spiritoso",Haydn: Symphonies 99 - 104,Royal Philharmonic Orchestra & Sir Thomas Beecham,1,0.99
Swing Low Sweet Chariot,The Cream Of Clapton,Eric Clapton,1,0.99
Sweethearts Together,Voodoo Lounge,The Rolling Stones,1,0.99
Sweet Soul Sister,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,1,0.99
Sweet Lady Luck,Greatest Hits,Lenny Kravitz,1,0.99
"Suzie-Q, Pt. 2","Chronicle, Vol. 2",Creedence Clearwater Revival,1,0.99
Surprise! You're Dead!,The Real Thing,Faith No More,1,0.99
Super Terrorizer,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,1,0.99
Summer Love,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,1,0.99
"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",Bach: The Cello Suites,Yo-Yo Ma,1,0.99
Suck On The Jugular,Voodoo Lounge,The Rolling Stones,1,0.99
Suck My Kiss,Blood Sugar Sex Magik,Red Hot Chili Peppers,1,0.99
Sua Impossivel Chance,Volume Dois,Titãs,1,0.99
Stuck With Me,International Superhits,Green Day,1,0.99
Strutter,Greatest Kiss,Kiss,1,0.99
Stripsearch,Album Of The Year,Faith No More,1,0.99
Stranger in a Strange Land,Somewhere in Time,Iron Maiden,1,0.99
Stranger In a Strange Land,"Lost, Season 3",Lost,1,1.99
Strange Kind Of Woman,Fireball,Deep Purple,1,0.99
Straight Out Of Line,Faceless,Godsmack,1,0.99
Stone Free,Are You Experienced?,Jimi Hendrix,1,0.99
Stone Crazy,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,1,0.99
Sting Me,Live [Disc 1],The Black Crowes,1,0.99
Still Of The Night,Greatest Hits,Lenny Kravitz,1,0.99
Still Loving You,20th Century Masters - The Millennium Collection: The Best of Scorpions,Scorpions,1,0.99
Still Life,Piece Of Mind,Iron Maiden,1,0.99
Still,In Your Honor [Disc 2],Foo Fighters,1,0.99
"Stay (Faraway, So Close!)",Zooropa,U2,1,0.99
Stars,Greatest Hits,Lenny Kravitz,1,0.99
Staring At The Sun,Pop,U2,1,0.99
Star A.D.,King For A Day Fool For A Lifetime,Faith No More,1,0.99
Stand Inside Your Love,Rotten Apples: Greatest Hits,Smashing Pumpkins,1,0.99
St. Jimmy,American Idiot,Green Day,1,0.99
Squeeze Box,My Generation - The Very Best Of The Who,The Who,1,0.99
Spread Your Wings,News Of The World,Queen,1,0.99
Spoonman,A-Sides,Soundgarden,1,0.99
Spirit Walker,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,1,0.99
Spellbound,For Those About To Rock We Salute You,AC/DC,1,0.99
Spank Thru,From The Muddy Banks Of The Wishkah [Live],Nirvana,1,0.99
"Spanish moss-""A sound portrait""-Spanish moss",The Best Of Billy Cobham,Billy Cobham,1,0.99
Spanish Eyes,B-Sides 1980-1990,U2,1,0.99
Space Truckin',Machine Head,Deep Purple,1,0.99
Sozinho (Hitmakers Classic Mix),Sozinho Remix Ao Vivo,Caetano Veloso,1,0.99
Sozinho (Caêdrum 'n' Bass),Sozinho Remix Ao Vivo,Caetano Veloso,1,0.99
Sozinho,Prenda Minha,Caetano Veloso,1,0.99
Sound of a Gun,Revelations,Audioslave,1,0.99
Soul Singing,Live [Disc 2],The Black Crowes,1,0.99
Soul Parsifal,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,1,0.99
Soul Education,Synkronized,Jamiroquai,1,0.99
Soot & Stars,Judas 0: B-Sides and Rarities,Smashing Pumpkins,1,0.99
Sons Of Freedom,Walking Into Clarksdale,Page & Plant,1,0.99
Sonifera Ilha,Volume Dois,Titãs,1,0.99
Song For Lorraine,Morning Dance,Spyro Gyra,1,0.99
Sonata for Solo Violin: IV: Presto,Bartok: Violin & Viola Concertos,Yehudi Menuhin,1,0.99
Sometimes Salvation,Live [Disc 1],The Black Crowes,1,0.99
Sometimes I Feel Like Screaming,Purpendicular,Deep Purple,1,0.99
Something Nice Back Home,"LOST, Season 4",Lost,1,1.99
Someday Never Comes,"Chronicle, Vol. 1",Creedence Clearwater Revival,1,0.99
Some Unholy War,Back to Black,Amy Winehouse,1,0.99
Some Kind Of Monster,St. Anger,Metallica,1,0.99
Solo-Panhandler,The Best Of Billy Cobham,Billy Cobham,1,0.99
Solitary,"Lost, Season 1",Lost,1,1.99
Soldado Da Paz,Acústico MTV [Live],Cidade Negra,1,0.99
Socorro,Cássia Eller - Sem Limite [Disc 1],Cássia Eller,1,0.99
Sobremesa,Afrociberdelia,Chico Science & Nação Zumbi,1,0.99
So Por Amor,Vinicius De Moraes,Vinícius De Moraes,1,0.99
"So Fast, So Numb",New Adventures In Hi-Fi,R.E.M.,1,0.99
So Cruel,Achtung Baby,U2,1,0.99
So Beautiful,Greatest Hits,Lenny Kravitz,1,0.99
Smokin' in The Boys Room,Motley Crue Greatest Hits,Mötley Crüe,1,0.99
Smoked Pork,Body Count,Body Count,1,0.99
Smells Like Teen Spirit (Ao Vivo),Cássia Eller - Sem Limite [Disc 1],Cássia Eller,1,0.99
Slug,Original Soundtracks 1,Passengers,1,0.99
Slowness,Carried to Dust (Bonus Track Version),Calexico,1,0.99
Sleep On The Sidewalk,News Of The World,Queen,1,0.99
Slave,Into The Light,David Coverdale,1,0.99
Sister Awake,Tangents,The Tea Party,1,0.99
Sir Psycho Sexy,Blood Sugar Sex Magik,Red Hot Chili Peppers,1,0.99
Sing Joyfully,English Renaissance,The King's Singers,1,0.99
Sincero Breu,Acústico MTV,Os Paralamas Do Sucesso,1,0.99
Silver And Gold,Rattle And Hum,U2,1,0.99
Signe,Unplugged,Eric Clapton,1,0.99
Sick Again,Physical Graffiti [Disc 2],Led Zeppelin,1,0.99
Showcase,Up An' Atom,Gene Krupa,1,0.99
Show Me How to Live (Live at the Quart Festival),Revelations,Audioslave,1,0.99
Shout It Out Loud,Greatest Kiss,Kiss,1,0.99
Shout At The Devil,Motley Crue Greatest Hits,Mötley Crüe,1,0.99
Shotgun Blues,Use Your Illusion II,Guns N' Roses,1,0.99
Shiny Happy People,Out Of Time,R.E.M. Feat. Kate Pearson,1,0.99
Shining In The Light,Walking Into Clarksdale,Page & Plant,1,0.99
Sheer Heart Attack,News Of The World,Queen,1,0.99
She Wears Black,Blue Moods,Incognito,1,0.99
Shape of Things to Come,Revelations,Audioslave,1,0.99
Sex Type Thing,Core,Stone Temple Pilots,1,0.99
Severed Hand,Pearl Jam,Pearl Jam,1,0.99
Seventh Son of a Seventh Son,Seventh Son of a Seventh Son,Iron Maiden,1,0.99
Seven Seas Of Rhye,Greatest Hits I,Queen,1,0.99
Seven Minutes to Midnight,"Heroes, Season 1",Heroes,1,1.99
Seu Balancê,Ao Vivo [IMPORT],Zeca Pagodinho,1,0.99
Set It Off,Audioslave,Audioslave,1,0.99
Será Que Vai Chover?,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,1,0.99
Será,Mais Do Mesmo,Legião Urbana,1,0.99
Sereia,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos,1,0.99
Sem Sentido,Jota Quest-1995,Jota Quest,1,0.99
Sem Essa de Malandro Agulha,Ao Vivo [IMPORT],Zeca Pagodinho,1,0.99
Seis Da Tarde,The Best of Ed Motta,Ed Motta,1,0.99
Segue O Seco,Barulhinho Bom,Marisa Monte,1,0.99
Seek And You Shall Find,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,1,0.99
Seek & Destroy,Kill 'Em All,Metallica,1,0.99
See You,The Colour And The Shape,Foo Fighters,1,0.99
Secrets,Diver Down,Van Halen,1,0.99
Seconds,War,U2,1,0.99
Sea of Madness,Somewhere in Time,Iron Maiden,1,0.99
Sea Of Sorrow,Facelift,Alice In Chains,1,0.99
Se...,Djavan Ao Vivo - Vol. 02,Djavan,1,0.99
Se Liga,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,1,0.99
Scratch-N-Sniff,In Step,Stevie Ray Vaughan & Double Trouble,1,0.99
Scentless Apprentice,From The Muddy Banks Of The Wishkah [Live],Nirvana,1,0.99
Scar On the Sky,Carry On,Chris Cornell,1,0.99
"Say It Loud, I'm Black And I'm Proud Pt.1",Sex Machine,James Brown,1,0.99
Say Hello 2 Heaven,Temple of the Dog,Temple of the Dog,1,0.99
Save Me,Greatest Hits I,Queen,1,0.99
Saudosismo,Prenda Minha,Caetano Veloso,1,0.99
Saudosa Maloca,Elis Regina-Minha História,Elis Regina,1,0.99
Saudade Dos Aviões Da Panair (Conversando No Bar),Minas,Milton Nascimento,1,0.99
Satisfação,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos,1,0.99
Satch Boogie,Surfing with the Alien (Remastered),Joe Satriani,1,0.99
Sapopemba e Maxambomba,Ao Vivo [IMPORT],Zeca Pagodinho,1,0.99
Sapato 36,Raul Seixas,Raul Seixas,1,0.99
Santo Antonio,Chill: Brazil (Disc 2),Antônio Carlos Jobim,1,0.99
Santana Jam,Santana - As Years Go By,Santana,1,0.99
Santa Clara Clareou,Jorge Ben Jor 25 Anos,Jorge Ben,1,0.99
Sangue De Bairro,Afrociberdelia,Chico Science & Nação Zumbi,1,0.99
San Francisco Bay Blues,Unplugged,Eric Clapton,1,0.99
Sampa,Unplugged,Eric Clapton,1,0.99
Same Ol' Situation,Motley Crue Greatest Hits,Mötley Crüe,1,0.99
Samba pras moças,Ao Vivo [IMPORT],Zeca Pagodinho,1,0.99
Samba da Bençaco,Chill: Brazil (Disc 1),Marcos Valle,1,0.99
Samba Pra Endrigo,Vinicius De Moraes,Vinícius De Moraes,1,0.99
Samba Makossa,Da Lama Ao Caos,Chico Science & Nação Zumbi,1,0.99
Samba Em Prelúdio,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,1,0.99
Samba Do Jato,Vinicius De Moraes,Vinícius De Moraes,1,0.99
Samba Da Volta,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,1,0.99
Sam With The Showing Scalp Flat Top,Bongo Fury,Frank Zappa & Captain Beefheart,1,0.99
Salve Simpatia,Jorge Ben Jor 25 Anos,Jorge Ben,1,0.99
Salve Nossa Senhora,Serie Sem Limite (Disc 1),Tim Maia,1,0.99
Salutations,House of Pain,House Of Pain,1,0.99
Saint Of Me,No Security,The Rolling Stones,1,0.99
Safety Training,"The Office, Season 3",The Office,1,1.99
Safe and Sound,Carry On,Chris Cornell,1,0.99
Sad Statue,Mezmerize,System Of A Down,1,0.99
"Sabbath, Bloody Sabbath",Speak of the Devil,Ozzy Osbourne,1,0.99
SKA,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,1,0.99
S.O.S.,"Lost, Season 2",Lost,1,1.99
Réu Confesso,Serie Sem Limite (Disc 1),Tim Maia,1,0.99
Rusty Cage,A-Sides,Soundgarden,1,0.99
Running Free,Live After Death,Iron Maiden,1,0.99
Run to the Hills,The Number of The Beast,Iron Maiden,1,0.99
Run To The Hilss,A Real Dead One,Iron Maiden,1,0.99
Run Through The Jungle,"Chronicle, Vol. 1",Creedence Clearwater Revival,1,0.99
Roxanne,The Police Greatest Hits,The Police,1,0.99
Romeo et Juliette: No. 11 - Danse des Chevaliers,Prokofiev: Romeo & Juliet,Michael Tilson Thomas & San Francisco Symphony,1,0.99
Romaria (Renato Teixeira),Vozes do MPB,Various Artists,1,0.99
Romaria,Elis Regina-Minha História,Elis Regina,1,0.99
Rollover D.J.,Get Born,JET,1,0.99
Rock The Casbah,The Singles,The Clash,1,0.99
Rock On,Judas 0: B-Sides and Rarities,Smashing Pumpkins,1,0.99
Rock Of Ages,Vault: Def Leppard's Greatest Hits,Def Leppard,1,0.99
Rock Das Aranhas (Ao Vivo) (Live),Raul Seixas,Raul Seixas,1,0.99
Rock And Roll Is Dead,Greatest Hits,Lenny Kravitz,1,0.99
Rock 'N' Roll Music,BackBeat Soundtrack,BackBeat,1,0.99
Road Trippin',Californication,Red Hot Chili Peppers,1,0.99
Ro-Que-Se-Da-Ne,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,1,0.99
Riviera Paradise,In Step,Stevie Ray Vaughan & Double Trouble,1,0.99
River Song,Into The Light,David Coverdale,1,0.99
Rita Lee,Minha História,Os Mutantes,1,0.99
Rios Pontes & Overdrives,Da Lama Ao Caos,Chico Science & Nação Zumbi,1,0.99
