Song,Album,MediaType,Genre,minutes,Price
No No No,Fireball,MPEG audio file,Rock,6.92,0.99
Strange Kind Of Woman,Fireball,MPEG audio file,Rock,4.12,0.99
Anyone's Daughter,Fireball,MPEG audio file,Rock,4.74,0.99
The Mule,Fireball,MPEG audio file,Rock,5.37,0.99
Fools,Fireball,MPEG audio file,Rock,8.34,0.99
No One Came,Fireball,MPEG audio file,Rock,6.43,0.99
Knocking At Your Back Door,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,7.08,0.99
Bad Attitude,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,5.13,0.99
Child In Time (Son Of Aleric - Instrumental),Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,10.05,0.99
Nobody's Home,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,4.05,0.99
Black Night,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,6.15,0.99
Perfect Strangers,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,5.35,0.99
The Unwritten Law,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,4.92,0.99
Call Of The Wild,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,4.9,0.99
Hush,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,3.55,0.99
Smoke On The Water,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,7.74,0.99
Space Trucking,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,MPEG audio file,Rock,5.69,0.99
Highway Star,Machine Head,MPEG audio file,Rock,6.15,0.99
Maybe I'm A Leo,Machine Head,MPEG audio file,Rock,4.84,0.99
Pictures Of Home,Machine Head,MPEG audio file,Rock,5.06,0.99
Never Before,Machine Head,MPEG audio file,Rock,4.0,0.99
Smoke On The Water,Machine Head,MPEG audio file,Rock,5.68,0.99
Lazy,Machine Head,MPEG audio file,Rock,7.37,0.99
Space Truckin',Machine Head,MPEG audio file,Rock,4.55,0.99
Vavoom : Ted The Mechanic,Purpendicular,MPEG audio file,Rock,4.29,0.99
Loosen My Strings,Purpendicular,MPEG audio file,Rock,5.99,0.99
Soon Forgotten,Purpendicular,MPEG audio file,Rock,4.8,0.99
Sometimes I Feel Like Screaming,Purpendicular,MPEG audio file,Rock,7.53,0.99
Cascades : I'm Not Your Lover,Purpendicular,MPEG audio file,Rock,4.73,0.99
The Aviator,Purpendicular,MPEG audio file,Rock,5.35,0.99
Rosa's Cantina,Purpendicular,MPEG audio file,Rock,5.21,0.99
A Castle Full Of Rascals,Purpendicular,MPEG audio file,Rock,5.19,0.99
A Touch Away,Purpendicular,MPEG audio file,Rock,4.61,0.99
Hey Cisco,Purpendicular,MPEG audio file,Rock,5.9,0.99
Somebody Stole My Guitar,Purpendicular,MPEG audio file,Rock,4.16,0.99
The Purpendicular Waltz,Purpendicular,MPEG audio file,Rock,4.73,0.99
King Of Dreams,Slaves And Masters,MPEG audio file,Rock,5.47,0.99
The Cut Runs Deep,Slaves And Masters,MPEG audio file,Rock,5.71,0.99
Fire In The Basement,Slaves And Masters,MPEG audio file,Rock,4.73,0.99
Truth Hurts,Slaves And Masters,MPEG audio file,Rock,5.25,0.99
Breakfast In Bed,Slaves And Masters,MPEG audio file,Rock,5.29,0.99
Love Conquers All,Slaves And Masters,MPEG audio file,Rock,3.79,0.99
Fortuneteller,Slaves And Masters,MPEG audio file,Rock,5.82,0.99
Too Much Is Not Enough,Slaves And Masters,MPEG audio file,Rock,4.3,0.99
Wicked Ways,Slaves And Masters,MPEG audio file,Rock,6.56,0.99
Stormbringer,Stormbringer,MPEG audio file,Rock,4.11,0.99
Love Don't Mean a Thing,Stormbringer,MPEG audio file,Rock,4.4,0.99
Holy Man,Stormbringer,MPEG audio file,Rock,4.5,0.99
Hold On,Stormbringer,MPEG audio file,Rock,5.11,0.99
Lady Double Dealer,Stormbringer,MPEG audio file,Rock,3.36,0.99
You Can't Do it Right (With the One You Love),Stormbringer,MPEG audio file,Rock,3.4,0.99
High Ball Shooter,Stormbringer,MPEG audio file,Rock,4.46,0.99
The Gypsy,Stormbringer,MPEG audio file,Rock,4.05,0.99
Soldier Of Fortune,Stormbringer,MPEG audio file,Rock,3.23,0.99
The Battle Rages On,The Battle Rages On,MPEG audio file,Rock,5.95,0.99
Lick It Up,The Battle Rages On,MPEG audio file,Rock,4.0,0.99
Anya,The Battle Rages On,MPEG audio file,Rock,6.54,0.99
Talk About Love,The Battle Rages On,MPEG audio file,Rock,4.13,0.99
Time To Kill,The Battle Rages On,MPEG audio file,Rock,5.85,0.99
Ramshackle Man,The Battle Rages On,MPEG audio file,Rock,5.57,0.99
A Twist In The Tail,The Battle Rages On,MPEG audio file,Rock,4.29,0.99
Nasty Piece Of Work,The Battle Rages On,MPEG audio file,Rock,4.61,0.99
Solitaire,The Battle Rages On,MPEG audio file,Rock,4.7,0.99
One Man's Meat,The Battle Rages On,MPEG audio file,Rock,4.65,0.99
Pour Some Sugar On Me,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.88,0.99
Photograph,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.14,0.99
Love Bites,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,5.78,0.99
Let's Get Rocked,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.93,0.99
Two Steps Behind [Acoustic Version],Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.33,0.99
Animal,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.08,0.99
Heaven Is,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,3.57,0.99
Rocket,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.12,0.99
When Love & Hate Collide,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.29,0.99
Action,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,3.68,0.99
Make Love Like A Man,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.26,0.99
Armageddon It,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,5.37,0.99
Have You Ever Needed Someone So Bad,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,5.32,0.99
Rock Of Ages,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.14,0.99
Hysteria,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,5.92,0.99
Bringin' On The Heartbreak,Vault: Def Leppard's Greatest Hits,MPEG audio file,Rock,4.54,0.99
Roll Call,Outbreak,MPEG audio file,Jazz,5.36,0.99
Otay,Outbreak,MPEG audio file,Jazz,7.06,0.99
Groovus Interruptus,Outbreak,MPEG audio file,Jazz,5.32,0.99
Paris On Mine,Outbreak,MPEG audio file,Jazz,6.15,0.99
In Time,Outbreak,MPEG audio file,Jazz,6.15,0.99
Plan B,Outbreak,MPEG audio file,Jazz,4.53,0.99
Outbreak,Outbreak,MPEG audio file,Jazz,10.99,0.99
"Baltimore, DC",Outbreak,MPEG audio file,Jazz,5.78,0.99
Talkin Loud and Saying Nothin,Outbreak,MPEG audio file,Jazz,6.01,0.99
Pétala,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.5,0.99
Meu Bem-Querer,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.26,0.99
Cigano,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,5.08,0.99
Boa Noite,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,5.65,0.99
Fato Consumado,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,3.53,0.99
Faltando Um Pedaço,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.46,0.99
Álibi,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,3.55,0.99
Esquinas,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.68,0.99
Se...,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.77,0.99
Eu Te Devoro,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,5.19,0.99
Lilás,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.57,0.99
Acelerou,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,4.73,0.99
Um Amor Puro,Djavan Ao Vivo - Vol. 02,MPEG audio file,Latin,5.46,0.99
Samurai,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,5.52,0.99
Nem Um Dia,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,5.62,0.99
Oceano,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,3.62,0.99
Açai,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.52,0.99
Serrado,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.92,0.99
Flor De Lis,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,3.94,0.99
Amar É Tudo,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,3.53,0.99
Azul,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.23,0.99
Seduzir,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.63,0.99
A Carta,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,5.79,0.99
Sina,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.47,0.99
Acelerou,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,4.74,0.99
Um Amor Puro,Djavan Ao Vivo - Vol. 1,MPEG audio file,Latin,5.45,0.99
O Bêbado e a Equilibrista,Elis Regina-Minha História,MPEG audio file,Latin,3.72,0.99
O Mestre-Sala dos Mares,Elis Regina-Minha História,MPEG audio file,Latin,3.1,0.99
Atrás da Porta,Elis Regina-Minha História,MPEG audio file,Latin,2.78,0.99
"Dois Pra Lá, Dois Pra Cá",Elis Regina-Minha História,MPEG audio file,Latin,4.38,0.99
Casa no Campo,Elis Regina-Minha História,MPEG audio file,Latin,2.85,0.99
Romaria,Elis Regina-Minha História,MPEG audio file,Latin,4.05,0.99
"Alô, Alô, Marciano",Elis Regina-Minha História,MPEG audio file,Latin,4.02,0.99
Me Deixas Louca,Elis Regina-Minha História,MPEG audio file,Latin,3.58,0.99
Fascinação,Elis Regina-Minha História,MPEG audio file,Latin,3.01,0.99
Saudosa Maloca,Elis Regina-Minha História,MPEG audio file,Latin,4.64,0.99
As Aparências Enganam,Elis Regina-Minha História,MPEG audio file,Latin,4.12,0.99
Madalena,Elis Regina-Minha História,MPEG audio file,Latin,2.62,0.99
Maria Rosa,Elis Regina-Minha História,MPEG audio file,Latin,3.88,0.99
Aprendendo A Jogar,Elis Regina-Minha História,MPEG audio file,Latin,4.84,0.99
Layla,The Cream Of Clapton,MPEG audio file,Blues,7.18,0.99
Badge,The Cream Of Clapton,MPEG audio file,Blues,2.73,0.99
I Feel Free,The Cream Of Clapton,MPEG audio file,Blues,2.91,0.99
Sunshine Of Your Love,The Cream Of Clapton,MPEG audio file,Blues,4.21,0.99
Crossroads,The Cream Of Clapton,MPEG audio file,Blues,4.22,0.99
Strange Brew,The Cream Of Clapton,MPEG audio file,Blues,2.8,0.99
White Room,The Cream Of Clapton,MPEG audio file,Blues,5.03,0.99
Bell Bottom Blues,The Cream Of Clapton,MPEG audio file,Blues,5.08,0.99
Cocaine,The Cream Of Clapton,MPEG audio file,Blues,3.6,0.99
I Shot The Sheriff,The Cream Of Clapton,MPEG audio file,Blues,4.4,0.99
After Midnight,The Cream Of Clapton,MPEG audio file,Blues,3.19,0.99
Swing Low Sweet Chariot,The Cream Of Clapton,MPEG audio file,Blues,3.47,0.99
Lay Down Sally,The Cream Of Clapton,MPEG audio file,Blues,3.86,0.99
Knockin On Heavens Door,The Cream Of Clapton,MPEG audio file,Blues,4.41,0.99
Wonderful Tonight,The Cream Of Clapton,MPEG audio file,Blues,3.69,0.99
Let It Grow,The Cream Of Clapton,MPEG audio file,Blues,4.95,0.99
Promises,The Cream Of Clapton,MPEG audio file,Blues,3.01,0.99
I Can't Stand It,The Cream Of Clapton,MPEG audio file,Blues,4.16,0.99
Signe,Unplugged,MPEG audio file,Blues,3.23,0.99
Before You Accuse Me,Unplugged,MPEG audio file,Blues,3.74,0.99
Hey Hey,Unplugged,MPEG audio file,Blues,3.27,0.99
Tears In Heaven,Unplugged,MPEG audio file,Blues,4.58,0.99
Lonely Stranger,Unplugged,MPEG audio file,Blues,5.48,0.99
Nobody Knows You When You're Down & Out,Unplugged,MPEG audio file,Blues,3.86,0.99
Layla,Unplugged,MPEG audio file,Blues,4.76,0.99
Running On Faith,Unplugged,MPEG audio file,Blues,6.32,0.99
Walkin' Blues,Unplugged,MPEG audio file,Blues,3.77,0.99
Alberta,Unplugged,MPEG audio file,Blues,3.71,0.99
San Francisco Bay Blues,Unplugged,MPEG audio file,Blues,3.39,0.99
Malted Milk,Unplugged,MPEG audio file,Blues,3.61,0.99
Old Love,Unplugged,MPEG audio file,Blues,7.88,0.99
Rollin' And Tumblin',Unplugged,MPEG audio file,Blues,4.2,0.99
Collision,Album Of The Year,MPEG audio file,Alternative & Punk,3.41,0.99
Stripsearch,Album Of The Year,MPEG audio file,Alternative & Punk,4.5,0.99
Last Cup Of Sorrow,Album Of The Year,MPEG audio file,Alternative & Punk,4.19,0.99
Naked In Front Of The Computer,Album Of The Year,MPEG audio file,Alternative & Punk,2.15,0.99
Helpless,Album Of The Year,MPEG audio file,Alternative & Punk,5.44,0.99
Mouth To Mouth,Album Of The Year,MPEG audio file,Alternative & Punk,3.81,0.99
Ashes To Ashes,Album Of The Year,MPEG audio file,Alternative & Punk,3.62,0.99
She Loves Me Not,Album Of The Year,MPEG audio file,Alternative & Punk,3.5,0.99
Got That Feeling,Album Of The Year,MPEG audio file,Alternative & Punk,2.35,0.99
Paths Of Glory,Album Of The Year,MPEG audio file,Alternative & Punk,4.29,0.99
Home Sick Home,Album Of The Year,MPEG audio file,Alternative & Punk,1.98,0.99
Pristina,Album Of The Year,MPEG audio file,Alternative & Punk,3.88,0.99
Land Of Sunshine,Angel Dust,MPEG audio file,Alternative & Punk,3.73,0.99
Caffeine,Angel Dust,MPEG audio file,Alternative & Punk,4.47,0.99
Midlife Crisis,Angel Dust,MPEG audio file,Alternative & Punk,4.39,0.99
RV,Angel Dust,MPEG audio file,Alternative & Punk,3.72,0.99
Smaller And Smaller,Angel Dust,MPEG audio file,Alternative & Punk,5.18,0.99
Everything's Ruined,Angel Dust,MPEG audio file,Alternative & Punk,4.56,0.99
Malpractice,Angel Dust,MPEG audio file,Alternative & Punk,4.02,0.99
Kindergarten,Angel Dust,MPEG audio file,Alternative & Punk,4.51,0.99
Be Aggressive,Angel Dust,MPEG audio file,Alternative & Punk,3.71,0.99
A Small Victory,Angel Dust,MPEG audio file,Alternative & Punk,4.95,0.99
Crack Hitler,Angel Dust,MPEG audio file,Alternative & Punk,4.65,0.99
Jizzlobber,Angel Dust,MPEG audio file,Alternative & Punk,6.64,0.99
Midnight Cowboy,Angel Dust,MPEG audio file,Alternative & Punk,4.2,0.99
Easy,Angel Dust,MPEG audio file,Alternative & Punk,3.1,0.99
Get Out,King For A Day Fool For A Lifetime,MPEG audio file,Rock,2.29,0.99
Ricochet,King For A Day Fool For A Lifetime,MPEG audio file,Rock,4.49,0.99
Evidence,King For A Day Fool For A Lifetime,MPEG audio file,Rock,4.89,0.99
The Gentle Art Of Making Enemies,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.49,0.99
Star A.D.,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.4,0.99
Cuckoo For Caca,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.72,0.99
Caralho Voador,King For A Day Fool For A Lifetime,MPEG audio file,Rock,4.04,0.99
Ugly In The Morning,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.11,0.99
Digging The Grave,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.09,0.99
Take This Bottle,King For A Day Fool For A Lifetime,MPEG audio file,Rock,4.98,0.99
King For A Day,King For A Day Fool For A Lifetime,MPEG audio file,Rock,6.6,0.99
What A Day,King For A Day Fool For A Lifetime,MPEG audio file,Rock,2.64,0.99
The Last To Know,King For A Day Fool For A Lifetime,MPEG audio file,Rock,4.46,0.99
Just A Man,King For A Day Fool For A Lifetime,MPEG audio file,Rock,5.61,0.99
Absolute Zero,King For A Day Fool For A Lifetime,MPEG audio file,Rock,3.03,0.99
From Out Of Nowhere,The Real Thing,MPEG audio file,Alternative & Punk,3.38,0.99
Epic,The Real Thing,MPEG audio file,Alternative & Punk,4.9,0.99
Falling To Pieces,The Real Thing,MPEG audio file,Alternative & Punk,5.27,0.99
Surprise! You're Dead!,The Real Thing,MPEG audio file,Alternative & Punk,2.45,0.99
Zombie Eaters,The Real Thing,MPEG audio file,Alternative & Punk,6.01,0.99
The Real Thing,The Real Thing,MPEG audio file,Alternative & Punk,8.23,0.99
Underwater Love,The Real Thing,MPEG audio file,Alternative & Punk,3.87,0.99
The Morning After,The Real Thing,MPEG audio file,Alternative & Punk,3.73,0.99
Woodpecker From Mars,The Real Thing,MPEG audio file,Alternative & Punk,5.68,0.99
War Pigs,The Real Thing,MPEG audio file,Alternative & Punk,7.75,0.99
Edge Of The World,The Real Thing,MPEG audio file,Alternative & Punk,4.17,0.99
Deixa Entrar,Deixa Entrar,MPEG audio file,Latin,0.56,0.99
Falamansa Song,Deixa Entrar,MPEG audio file,Latin,3.95,0.99
Xote Dos Milagres,Deixa Entrar,MPEG audio file,Latin,4.49,0.99
Rindo À Toa,Deixa Entrar,MPEG audio file,Latin,3.7,0.99
Confidência,Deixa Entrar,MPEG audio file,Latin,3.7,0.99
Forró De Tóquio,Deixa Entrar,MPEG audio file,Latin,2.82,0.99
Zeca Violeiro,Deixa Entrar,MPEG audio file,Latin,2.39,0.99
Avisa,Deixa Entrar,MPEG audio file,Latin,5.92,0.99
Principiando/Decolagem,Deixa Entrar,MPEG audio file,Latin,1.95,0.99
Asas,Deixa Entrar,MPEG audio file,Latin,3.87,0.99
Medo De Escuro,Deixa Entrar,MPEG audio file,Latin,3.56,0.99
Oração,Deixa Entrar,MPEG audio file,Latin,4.52,0.99
Minha Gata,Deixa Entrar,MPEG audio file,Latin,3.03,0.99
Desaforo,Deixa Entrar,MPEG audio file,Latin,2.91,0.99
In Your Honor,In Your Honor [Disc 1],MPEG audio file,Rock,3.84,0.99
No Way Back,In Your Honor [Disc 1],MPEG audio file,Rock,3.28,0.99
Best Of You,In Your Honor [Disc 1],MPEG audio file,Rock,4.26,0.99
DOA,In Your Honor [Disc 1],MPEG audio file,Rock,4.2,0.99
Hell,In Your Honor [Disc 1],MPEG audio file,Rock,1.95,0.99
The Last Song,In Your Honor [Disc 1],MPEG audio file,Rock,3.33,0.99
Free Me,In Your Honor [Disc 1],MPEG audio file,Rock,4.65,0.99
Resolve,In Your Honor [Disc 1],MPEG audio file,Rock,4.81,0.99
The Deepest Blues Are Black,In Your Honor [Disc 1],MPEG audio file,Rock,3.97,0.99
End Over End,In Your Honor [Disc 1],MPEG audio file,Rock,5.87,0.99
Still,In Your Honor [Disc 2],MPEG audio file,Rock,5.22,0.99
What If I Do?,In Your Honor [Disc 2],MPEG audio file,Rock,5.05,0.99
Miracle,In Your Honor [Disc 2],MPEG audio file,Rock,3.49,0.99
Another Round,In Your Honor [Disc 2],MPEG audio file,Rock,4.43,0.99
Friend Of A Friend,In Your Honor [Disc 2],MPEG audio file,Rock,3.22,0.99
Over And Out,In Your Honor [Disc 2],MPEG audio file,Rock,5.27,0.99
On The Mend,In Your Honor [Disc 2],MPEG audio file,Rock,4.53,0.99
Virginia Moon,In Your Honor [Disc 2],MPEG audio file,Rock,3.82,0.99
Cold Day In The Sun,In Your Honor [Disc 2],MPEG audio file,Rock,3.35,0.99
Razor,In Your Honor [Disc 2],MPEG audio file,Rock,4.89,0.99
All My Life,One By One,MPEG audio file,Alternative & Punk,4.39,0.99
Low,One By One,MPEG audio file,Alternative & Punk,4.47,0.99
Have It All,One By One,MPEG audio file,Alternative & Punk,4.97,0.99
Times Like These,One By One,MPEG audio file,Alternative & Punk,4.44,0.99
Disenchanted Lullaby,One By One,MPEG audio file,Alternative & Punk,4.56,0.99
Tired Of You,One By One,MPEG audio file,Alternative & Punk,5.19,0.99
Halo,One By One,MPEG audio file,Alternative & Punk,5.11,0.99
Lonely As You,One By One,MPEG audio file,Alternative & Punk,4.62,0.99
Overdrive,One By One,MPEG audio file,Alternative & Punk,4.51,0.99
Burn Away,One By One,MPEG audio file,Alternative & Punk,4.97,0.99
Come Back,One By One,MPEG audio file,Alternative & Punk,7.83,0.99
Doll,The Colour And The Shape,MPEG audio file,Rock,1.39,0.99
Monkey Wrench,The Colour And The Shape,MPEG audio file,Rock,3.86,0.99
"Hey, Johnny Park!",The Colour And The Shape,MPEG audio file,Rock,4.14,0.99
My Poor Brain,The Colour And The Shape,MPEG audio file,Rock,3.56,0.99
Wind Up,The Colour And The Shape,MPEG audio file,Rock,2.54,0.99
Up In Arms,The Colour And The Shape,MPEG audio file,Rock,2.26,0.99
My Hero,The Colour And The Shape,MPEG audio file,Rock,4.34,0.99
See You,The Colour And The Shape,MPEG audio file,Rock,2.45,0.99
Enough Space,The Colour And The Shape,MPEG audio file,Rock,2.62,0.99
February Stars,The Colour And The Shape,MPEG audio file,Rock,4.82,0.99
Everlong,The Colour And The Shape,MPEG audio file,Rock,4.18,0.99
Walking After You,The Colour And The Shape,MPEG audio file,Rock,5.06,0.99
New Way Home,The Colour And The Shape,MPEG audio file,Rock,5.7,0.99
My Way,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,4.6,0.99
Strangers In The Night,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.6,0.99
"New York, New York",My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.43,0.99
I Get A Kick Out Of You,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.24,0.99
Something Stupid,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.64,0.99
Moon River,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.32,0.99
What Now My Love,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.5,0.99
Summer Love,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.92,0.99
For Once In My Life,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.85,0.99
Love And Marriage,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,1.5,0.99
They Can't Take That Away From Me,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.69,0.99
My Kind Of Town,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.14,0.99
Fly Me To The Moon,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.49,0.99
I've Got You Under My Skin,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.51,0.99
The Best Is Yet To Come,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.89,0.99
It Was A Very Good Year,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,4.44,0.99
Come Fly With Me,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.17,0.99
That's Life,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.12,0.99
The Girl From Ipanema,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.23,0.99
The Lady Is A Tramp,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.07,0.99
"Bad, Bad Leroy Brown",My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,2.83,0.99
Mack The Knife,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,4.87,0.99
Loves Been Good To Me,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.4,0.99
L.A. Is My Lady,My Way: The Best Of Frank Sinatra [Disc 1],MPEG audio file,Easy Listening,3.22,0.99
Entrando Na Sua (Intro),Roda De Funk,MPEG audio file,Latin,2.99,0.99
Nervosa,Roda De Funk,MPEG audio file,Latin,3.83,0.99
Funk De Bamba (Com Fernanda Abreu),Roda De Funk,MPEG audio file,Latin,3.95,0.99
Call Me At Cleo´s,Roda De Funk,MPEG audio file,Latin,3.94,0.99
Olhos Coloridos (Com Sandra De Sá),Roda De Funk,MPEG audio file,Latin,5.36,0.99
Zambação,Roda De Funk,MPEG audio file,Latin,5.02,0.99
Funk Hum,Roda De Funk,MPEG audio file,Latin,4.07,0.99
Forty Days (Com DJ Hum),Roda De Funk,MPEG audio file,Latin,3.7,0.99
Balada Da Paula,Roda De Funk,MPEG audio file,Latin,5.38,0.99
Dujji,Roda De Funk,MPEG audio file,Latin,5.41,0.99
Meu Guarda-Chuva,Roda De Funk,MPEG audio file,Latin,4.14,0.99
Motéis,Roda De Funk,MPEG audio file,Latin,3.56,0.99
Whistle Stop,Roda De Funk,MPEG audio file,Latin,8.77,0.99
16 Toneladas,Roda De Funk,MPEG audio file,Latin,3.19,0.99
Divirta-Se (Saindo Da Sua),Roda De Funk,MPEG audio file,Latin,1.25,0.99
Forty Days Instrumental,Roda De Funk,MPEG audio file,Latin,4.87,0.99
Óia Eu Aqui De Novo,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.66,0.99
Baião Da Penha,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,4.13,0.99
Esperando Na Janela,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,4.35,0.99
Juazeiro,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.7,0.99
Último Pau-De-Arara,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.34,0.99
Asa Branca,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.62,0.99
Qui Nem Jiló,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.41,0.99
Assum Preto,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.33,0.99
Pau-De-Arara,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.19,0.99
A Volta Da Asa Branca,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,4.52,0.99
O Amor Daqui De Casa,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,2.48,0.99
As Pegadas Do Amor,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,3.49,0.99
Lamento Sertanejo,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,4.35,0.99
Casinha Feliz,As Canções de Eu Tu Eles,MPEG audio file,Soundtrack,0.54,0.99
Introdução (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,2.57,0.99
Palco (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,3.97,0.99
Is This Love (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,4.92,0.99
Stir It Up (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,4.71,0.99
Refavela (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,3.94,0.99
Vendedor De Caranguejo (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,4.15,0.99
Quanta (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,5.96,0.99
Estrela (Live),Quanta Gente Veio Ver (Live),MPEG audio file,Latin,4.76,0.99
